SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1005939,1,1994,13,,ACCORD,1,,1,,1,1
1005939,2,1996,8,,CARAVAN,3,,1,,1,1
1005945,1,1995,6,,ASTROVAN,3,,1,,1,1
1005945,2,1998,9,,TAURUS,1,,1,,1,1
1005977,1,1998,29,,VOYAGER,3,,1,,1,1
1005977,2,1997,1,,CL,1,,1,,1,1
1005977,3,1997,1,,CL,1,,1,,1,1
1005977,4,1998,29,,VOYAGER,3,,1,,1,1
1005997,1,1992,13,,ACCORD,1,,1,,1,1
1006003,1,1995,6,,BLAZER,4,,1,,1,1
1006003,2,1995,6,,VENTURE,3,,1,,1,1
1006031,1,1992,30,,BONNEVILLE,1,,1,,1,1
1006031,2,1996,18,,CHEROKEE,4,,1,,1,1
1006031,3,1998,40,,TOUR DELUXE,8,,1,,1,1
1006035,1,1995,37,,CAMRY,1,,1,,1,1
1006035,2,1992,8,,DYNASTY,1,,1,,1,1
1006035,3,1991,29,,ACCLAIM,1,,1,,1,1
1006035,4,1990,8,,RAM,3,,1,,1,1
1006039,1,1996,8,,CARAVAN,5,,1,,1,1
1006039,2,1997,27,,MAXIMA,1,,1,,1,1
1006054,1,1998,6,,LUMINA,1,,1,,1,1
1006054,2,1990,9,,TEMPO,1,,1,,1,1
1006054,3,1999,6,,VENTURE,3,,1,,1,1
1006054,4,1999,34,,XL,2,,1,,1,1
1006481,1,1988,29,,RELIANT,1,,1,,1,1
1006481,2,1989,8,,DYNASTY,1,,1,,1,1
1006482,1,1997,37,,COROLLA,1,,1,,1,1
1006499,1,1994,10,,PRIZM,1,,1,,1,1
1006499,2,1984,35,,WAGON,6,,1,,1,1
1006509,1,1993,24,,SABLE,1,,1,,1,1
1006509,2,1993,9,,TAURUS,1,,1,,1,1
1006513,1,1987,13,,ACCORD,1,,1,,1,1
1006513,2,1990,26,,ECLIPSE,2,,1,,1,1
1006513,3,1993,37,,CAMRY,1,,1,,1,1
1006529,1,1996,6,,MONTE CARLO,1,,1,,1,1
1006533,1,1999,6,,S 1000,7,,1,,1,1
1006533,2,1994,8,,CARAVAN,3,,1,,1,1
1006544,1,1999,1,,3.2 TL,1,,1,,1,1
1006544,2,1999,6,,TAHOE,4,,2,,1,1
1006545,1,1990,37,,CAMRY,1,,1,,1,1
1006558,1,1999,4,,LESABRE,1,,1,,1,1
1006776,1,1994,9,,F 150,4,,1,,1,1
1006776,2,1999,10,,PRIZM,1,,1,,1,1
1006777,1,1998,8,,DAKOTA,7,,1,,1,1
1006777,2,1991,16,,RODEO,4,,1,,1,1
1006778,1,1998,9,,TAURUS,1,,2,,1,1
1006778,2,1995,24,,TRACER,1,,1,,1,1
1006778,3,1994,97,EAGLE,TALON,4,,1,,1,1
1006781,1,1996,9,,ESCORT,6,,1,,1,1
1006781,2,1999,29,,VOYAGER,5,,1,,1,1
1006784,1,1995,9,,CONTOUR,1,,1,,1,1
1006784,2,1986,23,,323,1,,1,,1,1
1006802,1,1996,97,EAGLE,VISION,1,,1,,1,1
1006802,2,1987,11,,JIMMY,4,,1,,1,1
1006802,3,1992,2,,COUPE,1,,1,,1,1
1006802,4,1981,4,,REGAL,1,,1,,1,1
1006804,1,1993,13,,CIVIC,1,,1,,1,1
1006807,1,1980,13,,ACCORD,1,,1,,1,1
1006807,2,1994,30,,BONNEVILLE,1,,1,,1,1
1006811,1,2000,37,,RAV4,4,,1,,1,1
1006813,1,1988,38,,FOX,1,,1,,1,1
1006813,2,1990,25,,300 SC,1,,1,,1,1
1006817,1,1996,9,,TAURUS,1,,1,,1,1
1006817,2,1999,9,,TAURUS,1,,1,,1,1
1006817,3,1991,6,,CONVERSION VAN,3,,1,,1,1
1006827,1,1970,25,,BENZ,1,,1,,1,1
1006827,2,1972,38,,BEETLE,2,,1,,1,1
1006827,3,1985,39,,DL,1,,1,,1,1
1006827,4,1998,7,,CARAVAN,3,,2,,1,1
