SAMPN,PERNO,GEND,AGE,LIC,RESP,RELAT,DISAB,DISTY1,DISTY2,DABLO,EDUC,LEVEL,S_LOC,SHOME,SDAY,SMODE1,SMODE2,SMODE3,SMOO,SCOST,SUNIT,EMPL,NOJOB,NMJOB,ETYPE,ETYPO,W1IND,W1INO,W1OCC,W1OCO,W1TIM,W1DAY,W1HOM,W1HMO,W1CPR,W1CPT,W1CPO,W1WKE,W1WKD1,W1WKD2,W1WKD3,W1WKD4,O_W1WKD,W1TYP,W1LOC,W1MOD1,W1MOD2,W1MOD3,W1MOO,W1NDV,W1CPK,W1CPU,W1EPK,W1PKL,W1PKLO,W1WLK,TRNST,VTRAN,TRNCT,TRNCU,SCHED,WSTIM,WETIM,SETIM,VSTIM,VSTMO,VETIM,VETMO,W2TY,W2TYO,W2TYP,W2LOC,W2IND,W2INO,W2OCC,W2OCO,W2DAY,W2HOM,W2HOO,W2ST,W2ET,HMALL,PNMPL,NTRIPS,DIARY,PROXY,HBW,HBO,NHB,MOTTRIP,NOMOTTRP,CPA,FIPS,REGION,DVRPC
1000774,2,2,56,1,2,2,2,,,,2,,,,,,,,,,,1,,2,4,,56,,5,,3,5,0,,2,,,0,,,,,,2,22,21,,,,2,0.00,,2,1,,2,2,,,,2,830,1700,1,,,,,,,,,,,,,,,,,,2,6,5,1,1,1,1,3,5,0,58,34005,2,1
1000802,1,1,67,1,1,1,2,,,,2,,,,,,,,,,,2,,1,1,,97,NO TITLE AT JOB,97,ANYTHING ASSOCIATED WITH SMALL,2,5,0,,,,,0,,,,,,1,9000802,,,,,1,,,,,,,,,,,1,845,1700,1,,,,,2,,1,9000802,51,,5,,3,3,,1900,2300,2,7,6,1,0,0,6,0,6,0,58,34005,2,1
1000802,2,2,65,1,2,2,2,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
1000802,3,2,36,1,2,3,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,2,5,1,,1,2,,1,7,,,,,2,161,21,,,,1,,,1,1,,4,1,1,,,2,900,1800,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
1000871,1,2,47,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,61,,2,,3,5,0,,2,,,0,,,,,,2,201,21,,,,2,0.00,,2,1,,1,2,,,,2,845,1430,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,2,2,0,4,0,58,34005,2,1
1000871,2,1,48,1,2,2,2,,,,2,,,,,,,,,,,1,,2,3,,23,,2,,3,5,0,,2,,,1,1,,,,,2,202,21,,,,1,0.00,,2,1,,1,2,,,,2,700,1700,1,,,,,,,,,,,,,,,,,,2,8,7,1,1,3,1,3,7,0,58,34005,2,1
1000939,1,1,62,1,1,1,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,9,1,0,0,6,3,9,0,58,34005,2,1
1000939,2,2,57,1,2,2,2,,,,2,,,,,,,,,,,2,,2,3,,53,,4,,3,2,2,,,,,1,2,4,,,,1,9000939,,,,,1,,,,,,,,,,,2,1300,1700,2,5,,5,,,,,,,,,,,,,,,2,4,3,1,1,0,2,1,3,0,58,34005,2,1
1000959,1,1,60,1,1,1,2,,,,2,,,,,,,,,,,1,,2,4,,61,,2,,3,5,0,,2,,,0,,,,,,2,18,21,,,,2,46.00,4,2,1,,5,2,,,,2,1200,1500,2,5,,5,,,,,,,,,,,,,,,2,3,2,2,0,0,2,0,2,0,58,34005,2,1
1001150,1,1,49,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,52,,1,,3,5,0,,2,,,0,,,,,,2,163,21,,,,2,0.00,,2,1,,3,2,,,,1,830,1700,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,0,2,0,2,0,58,34005,2,1
1001150,2,2,47,1,2,2,2,,,,2,,,,,,,,,,,1,,2,2,,52,,2,,3,5,0,,2,,,0,,,,,,2,164,21,22,,,2,0.00,,2,1,,3,2,,,,1,830,1700,1,,,,,,,,,,,,,,,,,,2,6,5,1,1,1,3,1,5,0,58,34005,2,1
1001150,3,1,11,,2,3,2,,,,1,3,129,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,1,1,0,4,1,3,2,58,34005,2,1
1001167,1,2,65,1,1,1,2,,,,2,,,,,,,,,,,2,,2,1,,44,,4,,1,3,0,,,,,0,,,,,,2,55,21,11,,,2,0.00,,2,1,,1,2,,81.00,3,2,2200,600,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,2,0,0,2,0,58,34005,2,1
1001181,1,1,63,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,42,,4,,3,4,0,,2,,,0,,,,,,2,98,21,,,,1,0.00,,2,1,,0,8,,,,2,830,1600,2,7,IT DEPENDS ON WHERE I'M G,7,DEPEND ON WHERE I'M GOING,,,,,,,,,,,,,,2,7,6,1,0,0,6,0,6,0,58,34005,2,1
1001181,2,1,29,2,2,3,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,3,5,0,,2,,,0,,,,,,2,99,22,,,,2,0.00,,2,1,,0,2,,,,2,830,1700,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,58,34005,2,1
1001289,1,2,56,1,1,1,2,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,1,0,0,2,1,3,0,58,34005,2,1
1001289,2,1,24,1,2,3,2,,,,2,,,,,,,,,,,1,,2,1,,31,,11,,2,5,0,,2,,,1,1,,,,,2,183,21,,,,2,0.00,,2,3,,3,2,,,,2,800,1630,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,58,34005,2,1
1001289,3,2,22,2,2,3,2,,,,2,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,0,2,58,34005,2,1
1001289,4,2,17,1,2,3,2,,,,1,4,135,2,5,21,22,,,0.00,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,58,34005,2,1
1001289,5,1,44,1,2,9,2,,,,2,,,,,,,,,,,1,,2,1,,72,,8,,1,5,0,,2,,,0,,,,,,2,184,21,,,,2,0.00,,2,1,,3,2,,,,2,600,1600,1,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,58,34005,2,1
1001289,6,1,58,2,2,5,1,1,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
1001351,1,1,74,1,1,1,2,,,,2,,,,,,,,,,,1,,2,3,,23,,3,,3,5,0,,2,,,0,,,,,,2,251,21,,,,1,,,2,1,,0,1,1,,,2,700,1430,1,,,,,,,,,,,,,,,,,,2,7,6,1,0,2,0,4,6,0,58,34005,2,1
1001351,2,1,38,1,2,3,2,,,,2,,,,,,,,,,,1,,2,1,,54,,3,,3,5,0,,1,1,,2,2,4,,,,2,54,21,,,,1,0.00,,1,1,,1,2,,,,1,1800,600,1,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,0,0,1,0,58,34005,2,1
1001351,3,1,13,,2,7,2,,,,1,4,44,2,5,11,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,0,2,0,0,2,58,34005,2,1
1001375,1,2,45,1,1,1,2,,,,2,,,,,,,,,,,2,,2,1,,44,,4,,2,4,0,,,,,0,,,,,,2,51,21,,,,2,0.00,,2,1,,1,2,,,,2,800,1500,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,4,0,4,0,58,34005,2,1
1001375,2,1,47,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,52,,1,,2,5,3,,2,,,1,1,,,,,2,52,21,,,,1,0.00,,2,1,,1,2,,,,2,700,1630,1,,,,,,,,,,,,,,,,,,2,5,4,1,1,2,2,0,4,0,58,34005,2,1
