CHESCO,X,Y,SLOPE,FOURLNE300,INTERST800,REGRAIL300,RAILSTN100,PARKS500M,WATER100,CITBORO_10,DIST_WATER,DIST_RAILS,DIST_REGRA,DIST_PASSR,DIST_4LNE_,DIST_INTER,DIST_PARKS,PAL_WETLND,FARM92,PASTURE92,FOREST92,URBAN01,URBAN92,POPDEN90,MEDINC90,MEDHSEVAL_,PCT_WHITE_,PCT_SFHOME,PCT_POV_90,PCT_HSB_19,PCT_COLGRD
1,1614501.462,211178.482,0.686,1,0,0,0,0,0,0,2000.03,19647.19,18561.00,3000.05,2061.58,14422.43,2236.10,0,0,1,0,0,0,300,43396,142400,100,84,1,25,1
1,1615001.470,211178.482,1.140,1,0,0,0,0,0,0,2000.03,19525.92,18337.40,2500.04,2236.10,14560.44,2500.04,0,0,1,0,0,0,264,43396,142400,100,84,1,25,1
1,1615501.477,211178.482,1.487,1,0,0,0,0,0,0,2000.03,19416.79,18124.85,2000.03,2500.04,14300.57,2828.47,0,0,1,0,0,0,264,43396,142400,100,84,1,25,1
1,1616001.485,211178.482,1.701,1,0,0,0,0,0,0,1802.80,19300.56,17923.72,1500.02,2828.47,14009.14,3201.61,0,0,1,0,0,0,104,43396,142400,100,84,1,25,1
1,1616501.493,211178.482,1.820,0,0,0,0,0,0,0,1414.24,19006.87,17734.42,1000.02,3201.61,13729.74,3605.61,0,0,1,0,0,0,225,43396,142400,100,84,1,25,1
1,1617001.500,211178.482,1.805,0,0,0,0,0,0,0,1118.05,18721.93,17557.32,500.01,3605.61,13463.12,4031.19,0,0,1,0,0,0,375,43396,142400,100,84,1,25,1
1,1617501.508,211178.482,1.492,0,0,0,0,0,0,0,707.12,18446.15,17392.79,0.00,4031.19,13210.05,4472.21,0,0,1,0,0,0,440,43396,142400,100,84,1,25,1
1,1618001.516,211178.482,1.124,0,0,0,0,0,0,0,500.01,18179.94,17219.44,0.00,4472.21,12971.32,4924.51,0,0,1,0,0,0,172,43396,140200,100,84,1,25,1
1,1618501.523,211178.482,0.472,0,0,0,0,0,1,0,0.00,17923.72,17007.61,500.01,4924.51,12747.75,5385.25,0,0,1,0,1,0,5,39472,128700,94,84,9,30,9
1,1620001.546,211178.482,0.460,0,0,0,0,0,0,0,500.01,17219.44,16447.14,500.01,6324.65,12175.98,6364.06,0,0,0,0,0,0,1,0,0,100,0,0,0,0
